"Structure No","ID_NEW","pKi","Smiles"
"1","CPDXA0001","10.221848749616354","CC(C)N(CC1)CCC1NC(c([n](Cc1n[o]c(-c([s]2)ccc2Cl)c1)c1c(C)cc2)nc1c2C(NCCO)=O)=O"
"2","CPDXA0002","10.154901959985741","CC(C)N(CC1)CCC1NC(c([n](Cc1n[o]c(-c([s]2)ccc2Cl)c1)c1c(C)cc2)nc1c2C(O)=O)=O"
"3","CPDXA0003","10.096910013008054","COC(C(CN(C1)S(c2cc(ccc(Cl)c3)c3[s]2)(=O)=O)N(Cc(cc2)cc3c2c(N)ncn3)C1=O)=O"
"4","CPDXA0004","10.045757490560673","Nc1ncnc2c1ccc(CN([C@@H](CN(CC1)CCC1N1CCCC1)CN(C1)S(c3cc(ccc(Cl)c4)c4[s]3)(=O)=O)C1=O)c2"
"5","CPDXA0005","10.045757490560673","Nc1ncnc2c1ccc(CN([C@@H](CN1CCCC1)CN(C1)S(c3cc(ccc(Cl)c4)c4[s]3)(=O)=O)C1=O)c2"
"6","CPDXA0006","10.0","CC(C)N(CC1)CCC1NC(c([n](Cc1n[o]c(-c([s]2)ccc2Cl)c1)c1c(C)cccc11)c1C#N)=O"
"7","CPDXA0007","9.975390988664909","COC[C@@H](CN(C1)S(c2cc(ccc(Cl)c3)c3[s]2)(=O)=O)N(Cc(cc2)cc3c2c(N)ncn3)C1=O"
"8","CPDXA0008","9.958607314841775","C[C@@H](CN(C1)S(c2cc(ccc(Cl)c3)c3[s]2)(=O)=O)N(Cc(cc2)cc3c2c(N)ncn3)C1=O"
"9","CPDXA0009","9.958607314841775","Nc1ccnc2c1ccc(CN(C(CN(C1)S(c3cc(ccc(Cl)c4)c4[s]3)(=O)=O)C(N3CCOCC3)=O)C1=O)c2"
"10","CPDXA0010","9.920818753952375","CC(C)OCCNC[C@@H](CN(C1)S(c2cc(ccc(Cl)c3)c3[s]2)(=O)=O)N(Cc(cc2)cc3c2c(N)ncn3)C1=O"
"11","CPDXA0011","9.920818753952375","Nc1ncnc2c1ccc(CN([C@@H](CC(O)=O)CN(C1)S(c3cc(ccc(Cl)c4)c4[s]3)(=O)=O)C1=O)c2"
"12","CPDXA0012","9.920818753952375","CNC(C(CN(C1)S(c2cc(ccc(Cl)c3)c3[s]2)(=O)=O)N(Cc(cc2)cc3c2c(N)ccn3)C1=O)=O"
