,smiles,E1-CC2,E2-CC2,f1-CC2,f2-CC2,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-PBE0.1,E2-PBE0.1,f1-PBE0.1,f2-PBE0.1,E1-CAM,E2-CAM,f1-CAM,f2-CAM,mol_id
19900,[H]C1([H])C2([H])C([H])([H])C3([H])C4([H])C1([H])C2([H])C34[H],0.26896345,0.27057997,0.00829471,0.0052697,0.27804576,0.29375307,0.00328267,0.00767759,0.27804576,0.29375307,0.00328267,0.00767759,0.27277187,0.27653132,0.0051,0.0066,19900
19467,[H]C([H])([H])C1([H])OC2([H])C3([H])C([H])([H])C3([H])C12[H],0.25424178,0.26282402,0.00932629,0.00860073,0.27150985,0.27758527,0.00239597,0.0018986,0.27150985,0.27758527,0.00239597,0.0018986,0.26690668,0.26896464,0.0099,0.0034,19467
13787,[H]OC([H])(C([H])([H])[H])C12OC1([H])C([H])([H])C2([H])[H],0.26683072,0.28001922,0.00139191,0.02554369,0.27826144,0.28886409,0.00034342,0.01377408,0.27826144,0.28886409,0.00034342,0.01377408,0.27297031,0.28578113,0.0048,0.0127,13787
8094,[H]OC1([H])C([H])([H])C12OC(=O)C2([H])[H],0.22793169,0.27065433,0.00059774,0.09258773,0.22089157,0.26346954,0.00107888,0.03870249,0.22089157,0.26346954,0.00107888,0.03870249,0.22005864,0.27118797,0.0006,0.001,8094
17960,[H]C1=C2C([H])([H])OC2([H])C(=O)C1([H])[H],0.15760226,0.20183904,0.00019457,0.02076381,0.15244123,0.19826901,0.00025094,0.00167048,0.15244123,0.19826901,0.00025094,0.00167048,0.15472568,0.21287782,0.0001,0.0061,17960
10726,[H]OC1([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])N([H])C12[H],0.2623679,0.26401749,0.0155361,0.01737846,0.26740373,0.2759973,0.02209403,0.00298796,0.26740373,0.2759973,0.02209403,0.00298796,0.2628569,0.26706837,0.0059,0.0187,10726
16819,[H]C(=O)C12C([H])([H])C3([H])C1([H])OC32[H],0.15093945,0.21393817,0.00010593,0.00039775,0.14427998,0.19501504,2.565e-05,0.0008429,0.14427998,0.19501504,2.565e-05,0.0008429,0.14749342,0.2177618,0.0001,0.0008,16819
12008,[H]N([H])C1=NC([H])([H])C([H])([H])N([H])C1=O,0.16209224,0.19692413,0.00105414,0.04074666,0.15586697,0.18854137,0.00065703,0.05009781,0.15586697,0.18854137,0.00065703,0.05009781,0.16279584,0.19340067,0.0007,0.0586,12008
2516,[H]OC([H])([H])C1(C([H])([H])C([H])([H])[H])N([H])C1([H])[H],0.25775233,0.28130656,0.01583791,0.00659965,0.26406242,0.28877905,0.01003682,0.00137916,0.26406242,0.28877905,0.01003682,0.00137916,0.25812359,0.28125729,0.0127,0.005,2516
9010,[H]C(=NC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])OC([H])([H])[H],0.2238271,0.25929778,0.0009676,0.34948994,0.21478171,0.2609755,0.00111737,0.37039784,0.21478171,0.2609755,0.00111737,0.37039784,0.21509013,0.25552173,0.0006,0.341,9010
11584,[H]C1=C(C([H])([H])[H])C([H])([H])C2(OC2([H])[H])C1([H])[H],0.27205557,0.27723528,0.02314478,0.30466102,0.26084531,0.26307401,0.06584391,0.28208187,0.26084531,0.26307401,0.06584391,0.28208187,0.25809419,0.26304432,0.3212,0.0243,11584
14118,[H]C([H])([H])C12C([H])([H])C3([H])OC1([H])C2([H])C3([H])[H],0.25293171,0.27150212,0.00512958,0.00321163,0.27147165,0.28799082,0.00359011,0.00346809,0.27147165,0.28799082,0.00359011,0.00346809,0.26628929,0.28148146,0.0047,0.0041,14118
2308,[H]C([H])([H])N1C([H])([H])C1([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.25153598,0.26960746,0.0275585,0.01189124,0.25657471,0.27642924,0.01911118,0.01528755,0.25657471,0.27642924,0.01911118,0.01528755,0.25809786,0.27377512,0.0183,0.0156,2308
19654,[H]C(=O)C1([H])OC1([H])C1([H])C([H])([H])C1([H])[H],0.15394616,0.21856258,0.00047106,0.031612,0.14861066,0.20360094,0.00048123,0.03051191,0.14861066,0.20360094,0.00048123,0.03051191,0.14964325,0.21887531,0.0004,0.0394,19654
5665,[H]C([H])([H])C([H])([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.16609678,0.24969,0.00029719,0.01041727,0.16293024,0.26571774,0.00029912,0.00433636,0.16293024,0.26571774,0.00029912,0.00433636,0.16339485,0.2630921,0.0003,0.0055,5665
1710,[H]OC1(C#N)C([H])([H])C1([H])C([H])([H])[H],0.26434273,0.2860409,0.00635562,0.00171844,0.24653554,0.27515888,0.00230141,0.01619826,0.24653554,0.27515888,0.00230141,0.01619826,0.24655122,0.27600948,0.0021,0.0086,1710
2893,[H]OC([H])([H])C1([H])OC([H])([H])C([H])([H])O1,0.26888141,0.2938584,0.01220341,0.00649572,0.27811849,0.30634504,0.01381501,0.01466984,0.27811849,0.30634504,0.01381501,0.01466984,0.27050076,0.29595334,0.0089,0.0099,2893
14720,[H]C#CC([H])(N1C([H])([H])C1([H])[H])C([H])([H])O[H],0.26371097,0.26590945,0.0017872,0.02294254,0.24192236,0.25108679,0.00161068,0.01974516,0.24192236,0.25108679,0.00161068,0.01974516,0.23626141,0.24916778,0.0004,0.0036,14720
10484,[H]N1C(=O)C([H])([H])C([H])([H])C(=O)C1([H])[H],0.16466883,0.21121911,1.966e-05,0.00088729,0.16030069,0.2019119,9.784e-05,0.00027676,0.16030069,0.2019119,9.784e-05,0.00027676,0.16176318,0.20842747,0.0,0.0006,10484
12406,[H]N([H])C12C(=O)OC1([H])C([H])([H])C2([H])[H],0.21213002,0.25086882,0.00107189,0.01312731,0.19983322,0.24613127,0.00200518,0.00555078,0.19983322,0.24613127,0.00200518,0.00555078,0.20522293,0.24848791,0.0012,0.0153,12406
8821,[H]C(=O)C(=O)N([H])C([H])=NC([H])([H])[H],0.1264546,0.18240645,7.925e-05,1.46e-06,0.11616392,0.15410088,2.06e-06,0.00018426,0.11616392,0.15410088,2.06e-06,0.00018426,0.12233483,0.17701415,0.0001,0.0,8821
20344,[H]c1c(C([H])([H])[H])nnc(C([H])([H])[H])c1[H],0.13685548,0.15928157,0.00411669,0.0,0.12905914,0.15384145,0.0038584,0.0,0.12905914,0.15384145,0.0038584,0.0,0.13979443,0.16866103,0.0042,0.0,20344
12923,[H]N(C([H])([H])C#N)C1([H])C([H])([H])C([H])([H])C1([H])[H],0.23764231,0.26500824,0.00225888,0.01412187,0.22805051,0.25257525,0.00092737,0.01392807,0.22805051,0.25257525,0.00092737,0.01392807,0.23562565,0.26092756,0.0009,0.0122,12923
3023,[H]C([H])([H])C1([H])C([H])(C#N)C1([H])C([H])([H])[H],0.27977487,0.29591456,0.00086329,0.02840048,0.25883332,0.27629115,0.0004085,0.03208637,0.25883332,0.27629115,0.0004085,0.03208637,0.25683369,0.27462403,0.0005,0.0366,3023
16821,[H]C(=O)C12N([H])C3([H])C1([H])N([H])C32[H],0.15319783,0.20740205,0.00014583,0.00851157,0.14570279,0.17514838,9.905e-05,0.00590173,0.14570279,0.17514838,9.905e-05,0.00590173,0.14875392,0.20092694,0.0002,0.0103,16821
16976,[H]C([H])([H])C1([H])N2C3([H])C([H])([H])C3([H])C21C([H])([H])[H],0.23395926,0.2465951,0.01004222,0.00372682,0.24215343,0.25597096,0.01697384,0.00351909,0.24215343,0.25597096,0.01697384,0.00351909,0.23881182,0.25267366,0.0121,0.0018,16976
