"ESOL predicted log solubility in mols per litre","Minimum Degree","Molecular Weight","Number of H-Bond Donors","Number of Rings","Number of Rotatable Bonds","Polar Surface Area","measured log solubility in mols per litre","Structure of smiles [idcode]","smiles","Nr"
"-0.9740000000000001","1","457.4320000000001","7","3","7","202.31999999999996","-0.77","e`TXM@@@`LAEMGLakgodifVUoV{UgoZIFeimjjjjjlJBhjjH@@","OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ","1"
"-2.885","1","201.22500000000002","1","2","2","42.24","-3.3","foA``@D@edTRbbbRlmV\uLEHD@@@","Cc1occc1C(=O)Nc2ccccc2","2"
"-2.5789999999999997","1","152.237","0","0","4","17.07","-2.06","dmTH@@RUgVYjf`@","CC(C)=CCCC(C)=CC(=O)","3"
"-6.617999999999999","2","278.354","0","5","0","0.0","-7.87","ffk@@@LdbbbTRaaRRwEBMitRyj@@@@@@@@@@@","c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43","4"
"-2.2319999999999998","2","84.14299999999999","0","1","0","0.0","-1.33","gKPH@DIRxtl@@","c1ccsc1","5"
"-2.733","2","135.191","0","2","0","12.89","-1.5","diV@`J@HRfU|kahDB@@","c2ccc1scnc1c2 ","6"
"-6.545","1","326.437","0","2","1","0.0","-7.32","fhi@B`@QDhcTPZH]DYEEDhheEFqW`pPAED@@@@","Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl","7"
"-4.138","1","272.388","2","4","0","40.46","-5.03","fb}@`@@YRYVum[ehrRkNBf@BjjjjJ`@@","CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O","8"
"-4.533","1","380.913","0","5","0","12.53","-6.29","fl}AA`D`bBQCHbTQjHMDYEEEIihlXeS`eNCzLTsUUUUUUT@@","ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl","9"
"-5.246","1","394.42300000000023","0","5","3","63.22","-4.42","ekhPF@@@A@lfadfYfV^yw]V^AEGK@djlbf`j@HhJJijH`@@","COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ","10"
"0.243","1","85.10600000000001","1","1","0","29.1","1.07","gFy@DDfTujh@","O=C1CCCN1","11"
"-4.063","1","162.61899999999997","0","2","0","0.0","-4.14","dmL@`@bDfUmZZU`@@@@@","Clc1ccc2ccccc2c1","12"
"-2.01","1","70.135","0","0","2","0.0","-2.68","gJP@DkVh@","CCCC=C","13"
"-1.8969999999999998","1","218.256","2","2","2","58.2","-2.64","f`qP`@DBAKHheHdhbmPSoMUTa@P@@","CCC1(C(=O)NCNC1=O)c2ccccc2","14"
"-5.45","1","198.39399999999995","0","0","11","0.0","-7.96","dgl@@DiUUUZjjjh@@","CCCCCCCCCCCCCC","15"
"-1.585","1","78.542","0","0","0","0.0","-1.41","gC`HADIMT@@","CC(C)Cl","16"
"-1.0270000000000001","1","88.14999999999999","1","0","2","20.23","-0.47","gGQ@@dluUEP@","CCC(C)CO","17"
"-2.03","1","103.12399999999997","0","1","0","23.79","-1.0","daF@@@RVU[n@@@@","N#Cc1ccccc1","18"
"-3.989","1","304.35200000000003","0","1","7","53.47","-3.64","flyQa@ANQ``@bGadTbRTRRLVegMUPTAU@@@","CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C","19"
"-3.096","1","172.312","1","0","8","20.23","-2.94","dctH@@RYuUZjjjbJ@@","CCCCCCCCCC(C)O","20"
"-6.627000000000001","1","326.437","0","2","1","0.0","-7.43","fhi@B`@QCH`TPZHCDYEEEEEGEmrSoPEDA@P@`R`","Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ","21"
"-3.355","1","234.29899999999995","1","3","1","54.86","-4.593999999999999","fhyP`@DXAqIfVYu]`c^\EjijjjZ@@","O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3","22"
"-3.747","1","260.38599999999997","0","0","8","18.46","-4.11","dkLDHLH@bOA@`PcHiDdddVjjj`@","CCOP(=S)(OCC)SCSCC","23"
"-2.342","1","179.219","1","1","3","38.33","-2.35","dknD@DATf^UuFVh@J`@@","CCOc1ccc(NC(=O)C)cc1","24"
"-4.479","1","322.243","1","1","5","115.54000000000002","-5.47","ffmHSANJMzs`qAHHdLRBiMKncvQRFJKQJIPpjVjhHHffj`@@","CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O","25"
"-1.751","1","116.204","1","0","5","20.23","-1.81","daxH@@RUUjj`@","CCCCCCCO","26"
"-1.452","1","180.16699999999997","1","2","0","72.68","-1.39","dk\d@Dq]@\bbbbfJZ]MjjZe`@","Cn1c(=O)n(C)c2nc[nH]c2c1=O","27"
"-1.974","1","212.249","2","1","4","75.27000000000001","-1.661","do}L@DpFEIeY{WkfjYjj`@","CCCCC1(CC)C(=O)NC(=O)NC1=O","28"
"-6.553","1","318.0300000000001","0","2","2","0.0","-6.9","fdy@@`@QAhbtQFHrJIKJJJIGTYxL@EHTA@@@","ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2","29"
"-2.608","1","158.24099999999999","0","0","6","26.3","-3.17","dmTD@@QIeuUjjj@@","CCCCCCCC(=O)OC","30"
"-3.633","1","134.22199999999998","0","1","2","0.0","-3.75","deT@@LdbRQU\DDT@@","CCc1ccc(CC)cc1","31"
"-4.367","1","288.44","0","0","7","18.46","-4.755","do\DHLH@bOA@`PcHiDdddYFjjjj@@","CCOP(=S)(OCC)SCSC(C)(C)C","32"
"-4.229","1","300.314","2","2","3","76.66","-4.805","ff}PP@LN@cI\bbRbbRRfflvoVBuP@@PTt@@@","COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1","33"
"-1.939","1","96.94399999999999","0","0","0","0.0","-1.64","gC`DADJHRZd@","ClC(=C)Cl","34"
"-4.478","1","180.25000000000003","0","3","0","0.0","-5.22","fgA@@@DjYy}VByHu`bH`@@@@","Cc1cccc2c1Cc3ccccc32","35"
"-1.103","1","86.13399999999999","0","0","3","17.07","-0.85","gGQ@@djmT@@","CCCCC=O","36"
"-3.8569999999999998","2","169.227","1","2","2","12.03","-3.5039999999999996","dk^@@@RfYU\]Tz@@@@@@","N(c1ccccc1)c2ccccc2","37"
"-3.2969999999999997","1","253.367","0","1","6","29.540000000000003","-3.927","fhq`b@BXT@HrQQZHiJIKpZZjj@@@@","CN(C)C(=O)SCCCCOc1ccccc1","38"
"-4.637","1","353.4900000000001","0","1","9","38.77","-4.15","fjuac@CXIh@QCpPDYEHdddhehXedkUUTuUUTOT@@","CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C","39"
"-3.904","1","226.101","0","0","5","0.0","-4.81","dax@`@kDeUZjh@@","CCCCCCCI","40"
"-4.685","1","188.657","0","2","1","0.0","-4.88","dk\@`@bDfUnukmN@H@@@@","c1c(Cl)cccc1c2ccccc2","41"
"-0.7909999999999999","1","86.134","1","0","3","20.23","-0.15","gGQ@@djuR@@","OCCCC=C","42"
"-0.527","1","168.15200000000002","2","2","0","75.27","-1.655","dcmL@DpFEIeY{keujfZj@@","O=C2NC(=O)C1(CCC1)C(=O)N2","43"
"-2.782","1","156.269","1","1","1","20.23","-2.53","dmtH@@RYeeZZjjj@@","CC(C)C1CCC(C)CC1O ","44"
"-0.684","1","88.106","0","0","2","26.3","-0.63","gGP`@deYj`@","CC(C)OC=O","45"
"-1.6780000000000002","1","116.20399999999998","1","0","4","20.23","-1.55","daxH@@RYujjhb`@","CCCCCC(C)O","46"
"-3.012","1","214.06199999999998","1","1","1","29.1","-3.083","dmvH`NdLQIe]Zf`@i`@@","CC(=O)Nc1ccc(Br)cc1","47"
"-3.005","1","266.098","1","2","1","60.910000000000004","-3.127","foAqB@JLDPFIdTTTtlRWAV]RuT@B@@@","c1ccccc1n2ncc(N)c(Br)c2(=O)","48"
"-4.248","1","346.33900000000017","1","2","4","107.77","-4.76","fikPpBHA@aNZmaJNrJZJIJFJJJIRdTgAZ@`ifiijH@@","COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ","49"
"-3.342","1","157.216","0","2","0","12.89","-1.94","dcn@@@rQQQQUUtj@D@P@@","c2c(C)cc1nc(C)ccc1c2 ","50"
"-2.509","1","110.19999999999999","0","0","4","0.0","-3.66","dax@@DkU^jh@@","CCCCCCC#C","51"
"-2.421","1","236.27099999999993","2","2","2","75.27000000000001","-2.17","fhiQ`@DX@pRSJswJ}N^BuSMMUT@@","CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ","52"
"-5.568","2","228.29399999999998","0","4","0","0.0","-8.057","fdu@@@DjYee]}faRlGtP@@@@@@@@@","c1ccc2c(c1)ccc3c4ccccc4ccc23","53"
"-3.4189999999999996","1","261.11899999999997","1","1","2","54.86","-2.523","dg]D`JXeCDrJJJZESLMKUSUQM@@","CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ","54"
"-7.185","1","360.88200000000006","0","2","1","0.0","-8.6","fdy@A`@QCH`TPZHmDAbLbbbbbeTQgI^c@TPEA@@@@","Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ","55"
"-2.281","1","108.13999999999999","1","1","0","20.23","-0.62","daDH@@RYe[hB@@@","Cc1ccccc1O","56"
"-3.6310000000000002","1","128.259","0","0","2","0.0","-5.05","diD@@LddUTjjh@@","CC(C)CCC(C)(C)C","57"
"-4.147","1","156.228","0","2","0","0.0","-4.14","dcl@@DjYeeiGP@HH@@@","Cc1ccc(C)c2ccccc12","58"
"-5.931","1","242.321","0","4","0","0.0","-6.57","flm@@@LdbbbTRRRqYhTkQBd@@@@`@@@@","Cc1cc2c3ccccc3ccc2c4ccccc14","59"
"-0.846","1","86.13399999999999","0","0","2","17.07","-0.19","gGQ@@dsmT@@","CCCC(=O)C","60"
"-8.304","1","429.77200000000016","0","2","1","0.0","-9.15","fbu@@P@QCH`TPZHmD^bHqFXcHhhhhiUECMrPTpEDAQDP@@@","Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ","61"
"-1.545","1","116.15999999999998","0","0","3","26.3","-0.82","daxD@@QIe]jj@@","CCCOC(=O)CC","62"
"-2.734","1","394.43900000000014","4","4","2","115.06000000000002","-3.68","fc@r@AUZN^pRFQRJQQQQEXqISFEWmV]EIZjjjYjjZfjh@@","CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO","63"
"-1.2309999999999999","1","109.12799999999999","2","1","0","46.25","-0.8","daFH@NAIe^f`@`@@","Nc1ccc(O)cc1","64"
"-2.3209999999999997","1","260.253","1","2","5","90.06","-2.81","fleI`BHDihBEPeGYEMDhULeDdsdTmMUMP@H@@","O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2","65"
"-6.269","1","366.84400000000016","1","4","2","54.37","-5.931","fewAb@@iJBHRYWYWYf{uhsQluGN@BjjZfX@H@@@","OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O","66"
"-3.233","1","229.71499999999997","1","1","5","53.940000000000005","-4.06","do~``DqnDHaIeYyUih@Jjj@@","CCNc1nc(Cl)nc(n1)N(CC)CC","67"
"-0.674","1","123.11499999999998","1","1","1","68.87","-0.667","digH@DK`R[e^Eh@@@@","NC(=O)c1cnccn1","68"
"-2.198","1","237.09699999999998","2","0","3","72.19","-2.68","dcuD`FveCDrJQQKFUSUL@@","CCC(Br)(CC)C(=O)NC(N)=O","69"
"-4.984","1","223.102","0","2","1","0.0","-5.27","dg|@P@bEbLbbbTVbKR]pP@P@@@","Clc1ccccc1c2ccccc2Cl ","70"
